run,seq_len,rse,mae,mse,mape,rmse
0,15.0,0.21469959616661072,0.22749704122543335,0.07587341219186783,3180574.0,0.27545130252838135
1,15.0,0.2200760692358017,0.23337644338607788,0.07777341455221176,3298380.5,0.2788788676261902
2,15.0,0.21911616623401642,0.23167023062705994,0.07743418961763382,3239935.75,0.27827000617980957
3,15.0,0.21981999278068542,0.2338745892047882,0.07768291980028152,3092872.0,0.2787165641784668
4,15.0,0.22673854231834412,0.23677906394004822,0.08012789487838745,3250541.0,0.2830687165260315
5,30.0,0.19385232031345367,0.20997147262096405,0.06850968301296234,2787879.0,0.26174354553222656
6,30.0,0.18139562010765076,0.20811715722084045,0.06410734355449677,2733674.5,0.25319427251815796
7,30.0,0.18807916343212128,0.21176721155643463,0.06646938621997833,2677317.75,0.2578165829181671
8,30.0,0.18664468824863434,0.2108335942029953,0.06596242636442184,2651608.25,0.2568315267562866
9,30.0,0.19033603370189667,0.2125018686056137,0.06726698577404022,2969679.5,0.25935879349708557
10,60.0,0.18896551430225372,0.21077585220336914,0.0667860209941864,2994767.0,0.2584299147129059
11,60.0,0.18694338202476501,0.21001605689525604,0.06607133895158768,2863411.5,0.2570434510707855
12,60.0,0.20184645056724548,0.22245284914970398,0.07133851945400238,2970739.25,0.2670927047729492
13,60.0,0.1973751038312912,0.21663984656333923,0.06975821405649185,3011771.25,0.2641178071498871
14,60.0,0.18534968793392181,0.20973092317581177,0.06550808250904083,2866689.75,0.25594547390937805
