run,seq_len,rse,mae,mse,mape,rmse
0,3.0,0.1915770322084427,0.009206372313201427,0.0011460001114755869,61253.30078125,0.03385262191295624
1,3.0,0.18574483692646027,0.00872071087360382,0.0011111124185845256,52544.03515625,0.03333335369825363
2,3.0,0.21565552055835724,0.010047045536339283,0.0012900358997285366,66555.4296875,0.035917069762945175
3,3.0,0.19585570693016052,0.009225201793015003,0.0011715948348864913,58468.1953125,0.03422856703400612
4,3.0,0.256492018699646,0.012172109447419643,0.0015343169216066599,99891.515625,0.03917035833001137
5,6.0,0.20373718440532684,0.00922235194593668,0.001219350378960371,54063.0078125,0.03491919860243797
6,6.0,0.25288400053977966,0.01108922902494669,0.0015134899877011776,69544.296875,0.03890359774231911
7,6.0,0.25193074345588684,0.01091375295072794,0.001507784822024405,65589.0390625,0.03883020579814911
8,6.0,0.20385056734085083,0.00911638792604208,0.0012200289638713002,50735.7578125,0.03492891415953636
9,6.0,0.21363483369350433,0.009499846026301384,0.0012785869184881449,54206.38671875,0.03575733304023743
10,12.0,0.23760826885700226,0.009913899004459381,0.001423569512553513,46618.76171875,0.03773022070527077
11,12.0,0.24760793149471283,0.010516490787267685,0.0014834798639640212,56578.80859375,0.03851597011089325
12,12.0,0.23272275924682617,0.009922814555466175,0.001394299091771245,50600.265625,0.03734031319618225
13,12.0,0.2522181570529938,0.010631522163748741,0.0015111009124666452,56941.1640625,0.03887288272380829
14,12.0,0.22653113305568695,0.009623018093407154,0.0013572035823017359,46721.63671875,0.03684024512767792
15,24.0,0.23894350230693817,0.009917883202433586,0.0014357594773173332,44698.95703125,0.03789141774177551
16,24.0,0.2290571630001068,0.009562797844409943,0.0013763546012341976,41922.64453125,0.03709925338625908
17,24.0,0.2308719903230667,0.009575984440743923,0.0013872594572603703,41207.875,0.03724593296647072
18,24.0,0.261179655790329,0.0108797000721097,0.0015693716704845428,53712.66015625,0.03961529582738876
19,24.0,0.23510849475860596,0.009757116436958313,0.0014127156464383006,43374.4140625,0.037586111575365067
