run,seq_len,rse,mae,mse,mape,rmse
0,15.0,0.06505272537469864,0.09679120779037476,0.022989198565483093,184386.203125,0.15162189304828644
1,15.0,0.06919873505830765,0.1001291275024414,0.024454372003674507,197496.28125,0.15637893974781036
2,15.0,0.07046268880367279,0.10070384293794632,0.024901043623685837,223566.0,0.15780064463615417
3,15.0,0.06820656359195709,0.09929601103067398,0.024103745818138123,168902.265625,0.1552538126707077
4,15.0,0.07982021570205688,0.10786069929599762,0.0282079316675663,280176.625,0.16795216500759125
5,30.0,0.069325752556324,0.09860289096832275,0.024500535801053047,161112.859375,0.15652647614479065
6,30.0,0.06429482996463776,0.09501833468675613,0.022722547873854637,81134.5625,0.15073999762535095
7,30.0,0.06968996673822403,0.09882804751396179,0.024629252031445503,176393.8125,0.15693709254264832
8,30.0,0.06877925992012024,0.09825510531663895,0.02430739998817444,164964.703125,0.15590830147266388
9,30.0,0.06705054640769958,0.09697220474481583,0.023696450516581535,110650.609375,0.15393652021884918
10,60.0,0.0625063106417656,0.0931711494922638,0.022091584280133247,66817.0703125,0.14863237738609314
11,60.0,0.06383135914802551,0.09531901031732559,0.022559896111488342,88694.28125,0.1501995176076889
12,60.0,0.06249067559838295,0.09300574660301208,0.02208605781197548,52394.1953125,0.14861378073692322
13,60.0,0.06312574446201324,0.09354540705680847,0.022310510277748108,50775.1640625,0.14936703443527222
14,60.0,0.062029458582401276,0.09281538426876068,0.02192305028438568,39023.4296875,0.14806434512138367
