run,seq_len,rse,mae,mse,mape,rmse
0,3.0,0.08083593845367432,0.019441647455096245,0.0016545259859412909,44305.859375,0.04067586362361908
1,3.0,0.08208029717206955,0.019688740372657776,0.0016799952136352658,45802.46875,0.04098774492740631
2,3.0,0.07909039407968521,0.019205087795853615,0.0016187987057492137,43913.203125,0.04023429751396179
3,3.0,0.07875315099954605,0.018734866753220558,0.001611896208487451,37376.015625,0.040148425847291946
4,3.0,0.0,0.0,0.0,0.0,0.0
5,6.0,0.08552634716033936,0.01998806744813919,0.0017504352144896984,38976.78125,0.04183820262551308
6,6.0,0.0,0.0,0.0,0.0,0.0
7,6.0,0.0,0.0,0.0,0.0,0.0
8,6.0,0.0,0.0,0.0,0.0,0.0
9,6.0,0.0,0.0,0.0,0.0,0.0
10,12.0,0.0,0.0,0.0,0.0,0.0
11,12.0,0.0,0.0,0.0,0.0,0.0
12,12.0,0.0,0.0,0.0,0.0,0.0
13,12.0,0.0,0.0,0.0,0.0,0.0
14,12.0,0.0,0.0,0.0,0.0,0.0
15,24.0,0.0,0.0,0.0,0.0,0.0
16,24.0,0.0,0.0,0.0,0.0,0.0
17,24.0,0.0,0.0,0.0,0.0,0.0
18,24.0,0.0,0.0,0.0,0.0,0.0
19,24.0,0.0,0.0,0.0,0.0,0.0
