run,seq_len,rse,mae,mse,mape,rmse
0,3.0,0.22929108142852783,0.010986964218318462,0.0013716028770431876,80546.328125,0.03703515604138374
1,3.0,0.21068285405635834,0.010223238728940487,0.0012602896895259619,73324.359375,0.03550055995583534
2,3.0,0.8656031489372253,0.025681616738438606,0.005177976097911596,215565.4375,0.07195815443992615
3,3.0,0.9193847179412842,0.03168492391705513,0.005499693565070629,335333.28125,0.07415992021560669
4,3.0,0.815642237663269,0.030927935615181923,0.004879113752394915,339151.71875,0.06985065340995789
5,6.0,0.8980107307434082,0.0298759788274765,0.005374521017074585,301024.09375,0.07331112772226334
6,6.0,0.21974417567253113,0.009868520312011242,0.001315150992013514,59874.140625,0.03626501187682152
7,6.0,0.9251067042350769,0.030721843242645264,0.0055366880260407925,313890.375,0.07440892606973648
8,6.0,0.25935131311416626,0.011642342433333397,0.0015521965688094497,79874.921875,0.03939792513847351
9,6.0,0.2334577441215515,0.010476795956492424,0.0013972255401313305,67129.203125,0.03737948089838028
10,12.0,0.9267969131469727,0.030333494767546654,0.0055526671931147575,305190.40625,0.07451622188091278
11,12.0,0.2430015504360199,0.010611912235617638,0.001455881749279797,62977.984375,0.038156017661094666
12,12.0,0.25981205701828003,0.01119825430214405,0.001556597650051117,67338.3984375,0.039453741163015366
13,12.0,0.2558120787143707,0.011096470057964325,0.0015326328575611115,66617.828125,0.039148855954408646
14,12.0,0.22554035484790802,0.00977715477347374,0.0013512674486264586,51828.96484375,0.03675958886742592
15,24.0,0.9234355092048645,0.030988313257694244,0.005548722110688686,319299.3125,0.07448974251747131
16,24.0,0.2362850457429886,0.009957105852663517,0.0014197851996868849,48268.85546875,0.03768003731966019
17,24.0,0.9268355369567871,0.029627513140439987,0.005569152068346739,289476.9375,0.07462675124406815
18,24.0,0.2529843747615814,0.010623577050864697,0.0015201278729364276,55063.33984375,0.03898881748318672
19,24.0,0.9248809814453125,0.031240401789546013,0.005557408090680838,324372.5,0.07454802840948105
