run,seq_len,rse,mae,mse,mape,rmse
0,15.0,0.07239476591348648,0.10261843353509903,0.02558382786810398,246293.875,0.15994945168495178
1,15.0,0.07921087741851807,0.10852068662643433,0.027992596849799156,394943.9375,0.16730988025665283
2,15.0,0.07631270587444305,0.1057749092578888,0.026968400925397873,357784.1875,0.16422058641910553
3,15.0,0.08365261554718018,0.11236985772848129,0.02956227771937847,472411.09375,0.17193683981895447
4,15.0,0.07306604087352753,0.10327428579330444,0.025821052491664886,320617.96875,0.1606893092393875
5,30.0,0.06928584724664688,0.09910181164741516,0.02448643185198307,212264.953125,0.15648141503334045
6,30.0,0.06949184834957123,0.09863302111625671,0.02455923520028591,157399.15625,0.15671385824680328
7,30.0,0.06972279399633408,0.09938540309667587,0.024640854448080063,204004.4375,0.15697406232357025
8,30.0,0.06929372251033783,0.09869500994682312,0.02448921650648117,183786.140625,0.15649031102657318
9,30.0,0.06841792911291122,0.09852918237447739,0.024179698899388313,80067.03125,0.1554982215166092
10,60.0,0.06291186064481735,0.09334655851125717,0.022234918549656868,35315.30859375,0.14911377429962158
11,60.0,0.0637693777680397,0.09584404528141022,0.022537987679243088,78548.1953125,0.15012657642364502
12,60.0,0.06327271461486816,0.09493354707956314,0.02236245386302471,116813.40625,0.14954081177711487
13,60.0,0.06284750998020172,0.09374970197677612,0.02221217378973961,68507.8125,0.14903749525547028
14,60.0,0.06443161517381668,0.0967710018157959,0.0227720458060503,83494.140625,0.1509040892124176
