run,seq_len,rse,mae,mse,mape,rmse
0,3.0,0.9271537661552429,0.029001427814364433,0.005546167492866516,276406.59375,0.07447259873151779
1,3.0,0.8909562826156616,0.030351610854268074,0.005329636391252279,312610.84375,0.0730043575167656
2,3.0,0.9255679249763489,0.02875552326440811,0.005536681041121483,271339.46875,0.0744088739156723
3,3.0,0.9269769787788391,0.02887675352394581,0.00554510997608304,273712.84375,0.07446549832820892
4,3.0,0.5706220269203186,0.023729650303721428,0.003413420170545578,240700.75,0.058424483984708786
5,6.0,0.924077570438385,0.028791537508368492,0.00553052918985486,272402.5,0.07436753064393997
6,6.0,0.9258379936218262,0.02910575643181801,0.005541064776480198,278922.0625,0.07443832606077194
7,6.0,0.2495274692773819,0.011344934813678265,0.0014934015925973654,78987.28125,0.03864455595612526
8,6.0,0.9219819903373718,0.028480269014835358,0.005517987068742514,265986.4375,0.07428315281867981
9,6.0,0.2751036286354065,0.012922380119562149,0.001646472723223269,100505.1953125,0.0405767522752285
10,12.0,0.24781736731529236,0.011042621918022633,0.001484734588302672,71862.1484375,0.03853225335478783
11,12.0,0.23993685841560364,0.010501261800527573,0.0014375204918906093,61531.06640625,0.03791464865207672
12,12.0,0.0,0.0,0.0,0.0,0.0
13,12.0,0.0,0.0,0.0,0.0,0.0
14,12.0,0.0,0.0,0.0,0.0,0.0
15,24.0,0.2695891261100769,0.01125716045498848,0.0016199020901694894,63706.8515625,0.04024800658226013
16,24.0,0.0,0.0,0.0,0.0,0.0
17,24.0,0.0,0.0,0.0,0.0,0.0
18,24.0,0.0,0.0,0.0,0.0,0.0
19,24.0,0.0,0.0,0.0,0.0,0.0
