run,seq_len,rse,mae,mse,mape,rmse
0,15.0,0.07940968126058578,0.10865180939435959,0.02806285209953785,377233.6875,0.1675197035074234
1,15.0,0.0764879509806633,0.10629076510667801,0.027030333876609802,349905.0625,0.16440904140472412
2,15.0,0.07969696819782257,0.10907917469739914,0.02816437929868698,400751.40625,0.16782246530056
3,15.0,0.07697130739688873,0.1060338020324707,0.027201147750020027,355058.875,0.16492770612239838
4,15.0,0.08393605053424835,0.11152256280183792,0.029662441462278366,404252.75,0.1722278743982315
5,30.0,0.06895679235458374,0.09842369705438614,0.024370139464735985,166599.4375,0.15610937774181366
6,30.0,0.06853988021612167,0.09883163869380951,0.02422279864549637,205719.640625,0.1556367576122284
7,30.0,0.06944859772920609,0.0985087975859642,0.024543950334191322,143716.0625,0.15666508674621582
8,30.0,0.06990998238325119,0.09927193075418472,0.02470700815320015,132617.734375,0.1571846306324005
9,30.0,0.06825467199087143,0.0974646508693695,0.024122003465890884,83373.40625,0.15531259775161743
10,60.0,0.06296142935752869,0.0934801697731018,0.022252436727285385,61614.7421875,0.14917249977588654
11,60.0,0.06271578371524811,0.09365429729223251,0.02216561883687973,73735.1796875,0.1488812267780304
12,60.0,0.06276687979698181,0.09412423521280289,0.022183677181601524,134277.84375,0.14894185960292816
13,60.0,0.06337270885705948,0.0947086364030838,0.02239779382944107,88091.453125,0.1496589183807373
14,60.0,0.06285806000232697,0.09332729876041412,0.02221590280532837,61810.08203125,0.14904999732971191
