,count,mean,std,min,25%,50%,75%,max
Unnamed: 0,48096.0,24047.5,13884.263610289168,0.0,12023.75,24047.5,36071.25,48095.0
OD_1-1,48096.0,350.0156731536877,1246.6934397241446,0.0,0.0,26.6666666666667,143.39333333333326,13506.165333333302
OD_1-2,48096.0,358.9800082612405,698.4862496483627,0.0,29.401333333333348,135.416,409.94333333333356,19005.984
OD_1-3,48096.0,667.5587906409427,1155.1043075715802,0.0,145.6286666666665,366.696,892.1186666666666,52153.5093333333
OD_1-4,48096.0,101.32490291638064,259.7418611015808,0.0,0.0,26.6666666666667,80.0,6916.54666666667
OD_1-5,48096.0,348.1644245397859,680.3145012573492,0.0,53.71400000000003,111.59333333333299,288.50999999999976,29247.5306666667
OD_1-6,48096.0,428.27734109554206,780.0435127753608,0.0,26.6666666666667,128.8346666666665,503.66399999999965,13159.664
OD_1-7,48096.0,256.09050731869127,439.67136599473577,0.0,26.6666666666667,81.53999999999999,301.9673333333332,10498.7786666667
OD_1-8,48096.0,319.31705774561505,455.84829810311305,0.0,64.63666666666668,184.232,412.1233333333333,16939.672
OD_1-9,48096.0,510.0464197715602,786.524018367411,0.0,54.312,192.00799999999998,659.956666666667,19153.84
OD_1-10,48096.0,35.62688448103514,131.6860744150371,0.0,0.0,0.0,26.6666666666667,3886.224
OD_1-11,48096.0,181.4315111998207,315.1679456149063,0.0,0.0,53.3333333333333,194.93266666666673,4151.2159999999985
OD_1-12,48096.0,1256.0929307496208,1817.1442408989958,0.0,379.84199999999964,829.636,1608.30533333333,92323.4346666667
OD_2-1,48096.0,459.23735063205936,1050.6525027722216,0.0,45.91,156.9813333333335,440.637333333333,35779.3733333333
OD_2-2,48096.0,33714.02332767359,60832.696763171094,0.0,24723.9373333333,29993.3013333333,39337.3446666667,12988222.6957877
OD_2-3,48096.0,15390.8079480482,11277.884350754646,0.0,7023.219999999999,12702.922666666651,20768.228666666677,102404.93866666699
OD_2-4,48096.0,5184.251324794859,4186.318443248331,0.0,3072.7053333333297,4471.0026666666645,6387.534666666669,56017.712
OD_2-5,48096.0,16768.28414443355,22631.477462070685,0.0,2390.8720000000003,7912.15466666667,27844.99466666665,934773.333333333
OD_2-6,48096.0,19567.625994510803,9560.836017683449,0.0,12885.404666666698,17125.12133333335,23795.92,151618.584
OD_2-7,48096.0,3945.027112109112,3936.5851269054906,0.0,1191.04333333333,2810.0826666666653,5354.552666666665,40493.9386666667
OD_2-8,48096.0,20292.720020542132,65323.13598570335,0.0,10804.379333333298,14379.114,18855.248666666674,1150657.36
OD_2-9,48096.0,10028.23403803504,7644.406893558759,0.0,4887.971333333332,8026.75066666667,13294.119333333301,146438.450666667
OD_2-10,48096.0,866.3732965734994,1472.6059523069612,0.0,80.0,329.392,993.5496666666672,36239.6746666667
OD_2-11,48096.0,5746.993177533836,4719.152377128889,0.0,3148.577333333335,4720.909333333335,7087.752000000003,43413.0666666667
OD_2-12,48096.0,46297.64048436446,26286.72293118178,0.0,29384.4313333333,40418.24666666665,55578.37133333332,619372.48
OD_3-1,48096.0,691.5385311599115,1239.0483364794288,0.0,77.65600000000003,287.72400000000005,815.5926666666667,46180.6026666667
OD_3-2,48096.0,22006.03688622743,19171.40548402623,0.0,11253.763333333349,18073.95333333335,27298.686666666676,612492.293333333
OD_3-3,48096.0,91815.244388335,46765.02376764301,0.0,59126.66533333332,85123.32933333336,116088.9826666665,946316.0266666672
OD_3-4,48096.0,17343.553152916516,13482.952929969357,0.0,8953.622000000007,14931.2666666667,22844.7706666667,522896.026666667
OD_3-5,48096.0,49785.41187874287,348136.34980154136,0.0,6862.852666666665,11256.71466666665,20158.6153333333,5496443.2
OD_3-6,48096.0,44737.614552672225,25070.58413339261,0.0,25864.9946666667,39258.277333333346,58406.79333333332,241265.357333333
OD_3-7,48096.0,13747.604068973196,9625.069624757694,0.0,7505.6573333333345,12186.685333333302,18156.5493333333,562427.626666667
OD_3-8,48096.0,134744.37050338116,595751.0697239568,0.0,28666.2646666667,40432.4346666667,57227.973999999995,6435391.46666667
OD_3-9,48096.0,23697.385586549215,25714.204028926244,0.0,9658.21,15987.228,26560.24533333333,398174.16
OD_3-10,48096.0,2982.301001552488,4656.889631049025,0.0,392.95866666666655,1644.7240000000002,3858.7913333333295,60057.168
OD_3-11,48096.0,9618.347880128636,8224.335032809453,0.0,4579.294000000003,7541.053333333333,11967.514666666699,84721.0213333333
OD_3-12,48096.0,33870.397872477326,23362.56781514714,0.0,19484.320666666652,29074.052,42038.87933333332,365052.853333333
OD_4-1,48096.0,257.745282989577,538.3075949601575,0.0,80.0,152.492,269.51800000000003,27377.9946666667
OD_4-2,48096.0,7808.7698868374155,5505.509290617846,313.213333333333,4038.8113333333354,6475.661333333335,9948.25666666667,57093.8773333333
OD_4-3,48096.0,57096.68714315806,21656.595110403792,2454.95733333333,42539.43533333333,54167.15333333331,67558.15133333334,233616.128
OD_4-4,48096.0,13371.332548347546,7749.184885122849,394.986666666667,8385.790666666668,12379.164,16645.36066666665,106491.44
OD_4-5,48096.0,22583.59829352402,11486.12694100342,0.0,15685.018666666674,20006.857333333348,25096.254666666697,127523.970666667
OD_4-6,48096.0,29117.390661621423,9637.88174240139,2871.55466666667,24443.960666666695,28260.564,33653.362,128277.21866666699
OD_4-7,48096.0,19428.012624861443,7561.262956247281,0.0,14077.820666666674,18951.852,23936.192666666648,69436.4853333333
OD_4-8,48096.0,14549.376228542948,12025.619704927349,0.0,6419.985333333335,12320.50666666665,19936.962666666674,127574.344
OD_4-9,48096.0,18351.911080173053,8778.855965511382,0.0,12527.427999999976,16698.610666666653,22216.538666666653,102987.797333333
OD_4-10,48096.0,13203.706267243257,12570.894465313515,0.0,7781.406666666669,11082.914666666651,15535.22066666665,367619.12
OD_4-11,48096.0,14605.525244621871,10239.486068869393,0.0,8225.547333333332,13218.38933333335,19228.842666666675,107870.56266666699
OD_4-12,48096.0,40850.9869375689,10926.174990932324,4347.95466666667,34282.9553333333,40171.76533333335,46728.75333333335,171556.685333333
