,count,mean,std,min,25%,50%,75%,max
OD_1-1,10769.0,5.120309531339955,81.58533007992422,0.0,0.0,0.0,0.0,4208.568889
OD_1-2,10769.0,8704.07062495173,10667.01188611189,0.0,372.124444,3772.035556,14537.96444,82480.27556000001
OD_1-3,10769.0,2473.8028183764513,2812.384027344316,0.0,15.431110999999998,2178.257778,3975.875556,33509.22667
OD_1-4,10769.0,3490.5317378038967,3525.5165210369164,0.0,955.786667,2370.293333,4974.026667,42579.6
OD_1-5,10769.0,623.4199184864864,948.6734254546557,0.0,103.262222,277.546667,704.4711110000002,12695.57333
OD_1-6,10769.0,18291.610025591195,185123.32934467442,0.0,1127.688889,3088.96,30924.56,19088743.53
OD_1-7,10769.0,13037.10040140693,22814.720268010024,0.0,44.471111,4552.826667,14943.29778,169803.0844
OD_1-8,10769.0,4926.952541655297,183933.54551327135,0.0,1125.173333,2548.0,4470.204444,19088743.53
OD_1-9,10769.0,33710.0240205953,198774.4857321053,0.0,51.84,610.906667,15356.34667,19088743.53
OD_1-10,10769.0,79818.66920138874,213761.38026657474,0.0,659.093333,1479.502222,168629.1556,19088743.53
OD_1-11,10769.0,44724.78914533925,68037.43165701117,0.0,241.084444,1023.2,82801.65333,618546.4978
OD_1-12,10769.0,37969.27746677973,20790.306297238614,0.0,23288.96889,33667.02222,48410.96889,398303.8044
OD_1-13,10769.0,145.10060770962954,394.3976905104357,0.0,0.0,0.0,11.164444,7343.893333
OD_1-14,10769.0,3527.368843501123,9077.87990438432,0.0,0.0,0.0,57.786667,249544.9689
OD_1-15,10769.0,100812.76606623233,231896.71183417112,0.0,3118.213333,6001.813333,197794.9956,19088743.53
OD_1-16,10769.0,12325.50385817366,8974.159089636138,0.0,5671.475556,10488.72,16648.017780000002,87112.65778
OD_1-17,10769.0,14747.059949436267,19799.2317958165,0.0,1008.755556,3048.56,26557.48444,234144.5422
OD_1-18,10769.0,22713.870734294214,12407.057902693008,0.0,13721.386669999998,20804.48889,29050.74667,120527.6978
OD_1-19,10769.0,2530.8432558544046,2517.8545769826524,0.0,617.075556,1724.8355559999998,3731.191111,63275.77778
OD_1-20,10769.0,56159.52093852125,86593.21447990148,0.0,8349.662221999999,16555.60889,45039.04,895840.1956
OD_1-21,10769.0,1.4499124082087513,51.094862066457026,0.0,0.0,0.0,0.0,3536.426667
OD_1-22,10769.0,1509.5732202519307,2493.097734352879,0.0,0.391111,399.715556,1459.351111,18788.78222
OD_1-23,10769.0,3436.8003507965445,3101.287590449934,0.0,941.822222,2750.995556,4971.52,25267.98222
OD_2-1,10769.0,2950.963366151343,183942.3532270031,0.0,311.466667,581.315556,1384.9155560000004,19088743.53
OD_2-2,10769.0,1926.6540328717595,5066.668525816927,0.0,48.382222,135.813333,298.586667,31417.95556
OD_2-3,10769.0,2845.478881246628,183948.54747999355,0.0,0.995556,266.008889,1294.684444,19088743.53
OD_2-4,10769.0,1187.719099055895,2600.7924527036034,0.0,66.284444,286.177778,1024.168889,41634.12444
OD_2-5,10769.0,515.4718461429109,2581.0933879252343,0.0,10.631111,51.048889,232.497778,209516.3022
OD_2-6,10769.0,6708.806330207754,184417.0619809845,0.0,110.151111,163.777778,281.075556,19088743.53
OD_2-7,10769.0,11682.792509464083,184680.32493287057,0.0,656.026667,2032.631111,8086.133333,19088743.53
OD_2-8,10769.0,2363.8506470258058,2677.8249534888787,66.017778,1033.013333,1527.44,3197.315556,148533.2178
OD_2-9,10769.0,25501.550882314245,195953.92461475098,0.0,163.43111100000004,286.995556,922.4,19088743.53
OD_2-10,10769.0,2438.5745397774185,183953.5512251584,0.0,189.262222,334.871111,615.733333,19088743.53
OD_2-11,10769.0,271.2482099826357,788.4301817386232,0.0,22.595556,78.106667,218.524444,27877.09333
OD_2-12,10769.0,35200.34569696493,185641.83506830182,2146.275556,20819.13778,31588.14222,42721.76889,19088743.53
OD_2-13,10769.0,19436.228609371297,186786.81712288578,73.47555600000003,895.217778,3938.791111,26803.65333,19088743.53
OD_2-14,10769.0,16.655130678614515,89.28180086784567,0.0,0.0,0.0,9.182222,4618.062222
OD_2-15,10769.0,1570.8291346454512,34531.3040886582,8.906667,328.604444,714.2755559999998,1521.191111,3579278.8710000007
OD_2-16,10769.0,8751.193769055022,184150.08816243656,248.853333,1087.786667,3076.631111,9157.12,19088743.53
OD_2-17,10769.0,6595.65096934115,11340.957149929867,88.29333299999998,1576.195556,2970.8444440000007,7816.853333,432823.9733
OD_2-18,10769.0,8621.796634481378,184224.43724948645,314.373333,3075.226667000001,4459.982222,7785.386667,19088743.53
OD_2-19,10769.0,18173.451032645855,187558.0049883288,538.924444,5862.524444,10628.44444,21013.48444,19088743.53
OD_2-20,10769.0,13773.150418249501,184911.8735169504,267.413333,4151.715556,9525.004444,16370.02667,19088743.53
OD_2-21,10769.0,26551.973730484027,186353.87402019417,136.231111,975.928889,23546.24889,40972.24,19088743.53
OD_2-22,10769.0,570.1576145509337,2018.0062519424152,0.0,6.2044440000000005,23.146667,108.88,13893.28889
OD_2-23,10769.0,14631.024087726082,43625.56352770018,0.0,83.262222,383.653333,1732.097778,281228.5511
OD_3-1,10769.0,1274.884859217573,1926.0102673448662,0.0,339.0933330000001,795.3244440000002,1625.324444,89674.05333
OD_3-2,10769.0,493.97006717475773,1144.4177910570309,0.0,12.08,75.902222,436.782222,17530.951109999998
OD_3-3,10769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OD_3-4,10769.0,32.16921492784844,535.548478597247,0.0,0.0,0.0,0.0,24106.57778
OD_3-5,10769.0,4.506906036772216,102.84206360382998,0.0,0.0,0.0,0.0,6718.088889
OD_3-6,10769.0,137.10140919045338,297.35644489162536,0.0,25.848889,64.462222,144.808889,10195.15556
OD_3-7,10769.0,1470.041894756423,4648.291007323923,0.0,258.924444,805.12,1769.7244440000004,321379.7956
OD_3-8,10769.0,451.2246452211889,1572.9326278115946,0.0,57.71555600000001,155.2,401.226667,111902.0533
OD_3-9,10769.0,793.5750807368368,1530.1404547373522,0.0,41.884444,122.595556,889.6355560000002,39264.69333
OD_3-10,10769.0,3317.0044196880926,3857.422455022577,0.0,1442.524444,2364.48,4202.266667,209909.5378
OD_3-11,10769.0,1300.5044264867677,7388.245105741627,0.0,194.888889,555.44,1544.586667,523754.1422
OD_3-12,10769.0,7968.751585335638,28776.342517963392,0.0,3699.804444,6385.92,10262.16,2156626.062
OD_3-13,10769.0,5289.087811300778,12775.962255537346,0.0,2579.217778,4511.164444,6497.422222,1039662.551
OD_3-14,10769.0,63.21842738239411,1958.4278057309714,0.0,0.0,0.462222,24.96,171253.9289
OD_3-15,10769.0,3016.8085867734258,5058.981647290218,0.0,843.395556,1830.426667,3751.164444,276863.7244
OD_3-16,10769.0,1327.8070478041573,2114.7920641890546,0.0,365.377778,726.7822219999998,1634.568889,102844.4178
OD_3-17,10769.0,270.0296018426036,731.5094209824471,0.0,0.0,0.462222,142.604444,13392.17778
OD_3-18,10769.0,2713.3822680455014,5103.421076150476,0.0,878.426667,1830.515556,3556.151111,328987.3244
OD_3-19,10769.0,786.1115811908275,3147.5340498488645,0.0,179.351111,364.533333,812.16,258117.8667
OD_3-20,10769.0,13221.185555265401,42339.253320274634,0.0,7170.435556,10639.47556,15492.63111,3198056.702
OD_3-21,10769.0,7497.441375957652,10384.111658053125,0.0,1250.008889,5123.137778,12524.73778,611361.8844
