,train_loss,train_rse,train_mae,train_mse,train_mape,train_rmse,val_loss,val_rse,val_mae,val_mse,val_mape,val_rmse
0,0.001859,0.075314,0.02426,0.001859,90808.455505,0.041064,0.001215,0.067951,0.017036,0.001215,29191.219329,0.034459
1,0.001188,0.047885,0.017761,0.001188,42027.74534,0.034432,0.001159,0.064839,0.016244,0.001159,21678.418236,0.033667
2,0.001136,0.045796,0.016871,0.001136,33152.703994,0.033672,0.001122,0.062731,0.015863,0.001122,23223.007266,0.033121
3,0.001137,0.045785,0.017135,0.001137,36397.202362,0.033671,0.001104,0.061405,0.01501,0.001104,11940.253281,0.032809
4,0.001112,0.044816,0.016561,0.001112,31639.271425,0.033311,0.001102,0.061565,0.015969,0.001102,27961.139186,0.032818
5,0.001111,0.044746,0.016612,0.001111,32475.368081,0.033289,0.001089,0.060691,0.014971,0.001089,11373.801077,0.032599
6,0.001108,0.044651,0.016501,0.001108,31711.088904,0.033253,0.001089,0.060858,0.016203,0.001089,34069.404792,0.032627
7,0.001109,0.044645,0.016526,0.001109,31832.527347,0.033254,0.001089,0.060823,0.015442,0.001089,14315.502012,0.032614
8,0.001112,0.044801,0.016522,0.001112,31439.472404,0.033309,0.001071,0.059782,0.015804,0.001071,33235.032409,0.032342
9,0.001114,0.044888,0.01657,0.001114,32381.242744,0.033332,0.001072,0.059777,0.015535,0.001072,32645.815299,0.032344
10,0.001111,0.044737,0.016455,0.001111,31474.879703,0.033289,0.001074,0.059983,0.014894,0.001074,20249.279967,0.032381
11,0.001112,0.044802,0.016451,0.001112,31306.752265,0.0333,0.001092,0.061109,0.016047,0.001092,29733.482891,0.032681
12,0.001111,0.044722,0.016423,0.001111,31457.112141,0.033284,0.001072,0.059845,0.014785,0.001072,15048.844837,0.032353
13,0.001111,0.044754,0.016425,0.001111,31371.36501,0.033292,0.001074,0.060022,0.015036,0.001074,23559.17526,0.032393
14,0.001102,0.044375,0.01624,0.001102,30711.62282,0.033159,0.001072,0.05984,0.014935,0.001072,21261.567415,0.032344
