run,seq_len,rse,mae,mse,mape,rmse
0,3.0,0.20400093495845795,0.011157144792377949,0.001220319070853293,83107.6875,0.03493306413292885
1,3.0,0.20799770951271057,0.011396978050470352,0.0012442274019122124,98189.0625,0.035273607820272446
2,3.0,0.20963220298290253,0.011456525884568691,0.001254004891961813,87883.5390625,0.035411931574344635
3,3.0,0.20233677327632904,0.011584073305130005,0.001210364163853228,98535.703125,0.03479028865695
4,3.0,0.20558340847492218,0.011541960760951042,0.0012297852663323283,95590.2890625,0.035068295896053314
5,6.0,0.20495100319385529,0.010991066694259644,0.0012266149278730154,80903.453125,0.03502306342124939
6,6.0,0.20438513159751892,0.011355264112353325,0.0012232284061610699,89440.625,0.034974683076143265
7,6.0,0.20431551337242126,0.011746869422495365,0.0012228116393089294,101032.5859375,0.034968722611665726
8,6.0,0.2075774222612381,0.011279136873781681,0.0012423339067026973,80285.6796875,0.03524675592780113
9,6.0,0.2044564038515091,0.01169169694185257,0.001223654835484922,86308.46875,0.03498077765107155
10,12.0,0.2039233297109604,0.01144383568316698,0.0012217545881867409,87583.3984375,0.03495360538363457
11,12.0,0.20650164783000946,0.011155510321259499,0.0012372019700706005,80062.7890625,0.03517388179898262
12,12.0,0.20805323123931885,0.011642387136816978,0.001246497966349125,89817.2890625,0.03530577942728996
13,12.0,0.20571400225162506,0.011605392210185528,0.0012324830750003457,85823.171875,0.03510673716664314
14,12.0,0.2071157544851303,0.01122082956135273,0.0012408812763169408,83560.9609375,0.03522614389657974
15,24.0,0.20546025037765503,0.011542540974915028,0.0012345658615231514,91772.03125,0.0351363904774189
16,24.0,0.2079637497663498,0.011586942709982395,0.0012496088165789843,94990.515625,0.035349804908037186
17,24.0,0.2089977264404297,0.011313268914818764,0.001255821785889566,79407.6484375,0.03543757647275925
18,24.0,0.2054058313369751,0.011893196031451225,0.0012342388508841395,94631.6875,0.03513173386454582
19,24.0,0.20717644691467285,0.011460167355835438,0.001244878163561225,88679.5625,0.03528283163905144
