run,seq_len,rse,mae,mse,mape,rmse
0,15.0,0.029909707605838776,0.06486546993255615,0.012786469422280788,26469.25,0.11307727545499802
1,15.0,0.030000504106283188,0.06506190448999405,0.012825285084545612,50644.93359375,0.11324877291917801
2,15.0,0.02986920066177845,0.06551475822925568,0.012769153341650963,41669.41796875,0.11300067603588104
3,15.0,0.030999645590782166,0.06601749360561371,0.013252420350909233,65149.12890625,0.11511915922164917
4,15.0,0.030743945389986038,0.06653604656457901,0.01314310822635889,35108.953125,0.114643394947052
5,30.0,0.029635924845933914,0.06488646566867828,0.012669836170971394,39252.49609375,0.11256036907434464
6,30.0,0.029669929295778275,0.06498483568429947,0.012684374116361141,32930.05859375,0.11262492835521698
7,30.0,0.02893112041056156,0.06396132707595825,0.01236852165311575,50780.49609375,0.11121385544538498
8,30.0,0.030162420123815536,0.06594423949718475,0.012894921936094761,59436.20703125,0.11355581134557724
9,30.0,0.028321539983153343,0.06354567408561707,0.012107915244996548,55943.83203125,0.1100359708070755
10,60.0,0.029692798852920532,0.06538569927215576,0.012694424949586391,48626.11328125,0.11266953498125076
11,60.0,0.02895497716963291,0.06542346626520157,0.012378987856209278,36650.86328125,0.11126089841127396
12,60.0,0.029361067339777946,0.06467191874980927,0.012552601285278797,23663.712890625,0.11203838884830475
13,60.0,0.02918272465467453,0.06418509036302567,0.012476355768740177,35548.40625,0.11169760674238205
14,60.0,0.028734277933835983,0.06421305984258652,0.01228463277220726,23357.623046875,0.11083606630563736
