run,seq_len,rse,mae,mse,mape,rmse
0,3.0,0.20792965590953827,0.0112637709826231,0.0012438204139471054,80153.828125,0.03526783734560013
1,3.0,0.2053150087594986,0.011279388330876827,0.001228179782629013,85693.53125,0.03504539653658867
2,3.0,0.2103419452905655,0.011691659688949585,0.0012582505587488413,85338.3984375,0.035471826791763306
3,3.0,0.21189692616462708,0.011540483683347702,0.001267552375793457,91871.9140625,0.03560269996523857
4,3.0,0.21313033998012543,0.0115205068141222,0.0012749305460602045,89870.46875,0.03570616990327835
5,6.0,0.21681804955005646,0.01175752840936184,0.0012976382859051228,89929.0546875,0.036022745072841644
6,6.0,0.21389329433441162,0.012619514018297195,0.0012801338452845812,102475.328125,0.03577895835042
7,6.0,0.2153206318616867,0.011860364116728306,0.0012886764016002417,92755.25,0.03589813783764839
8,6.0,0.21828483045101166,0.011979922652244568,0.0013064168160781264,99384.1484375,0.03614438697695732
9,6.0,0.212609201669693,0.011357596144080162,0.001272448687814176,79294.6484375,0.03567139804363251
10,12.0,0.21150937676429749,0.011473695747554302,0.0012672045268118382,85229.8515625,0.03559781610965729
11,12.0,0.21777509152889252,0.011990414932370186,0.0013047439279034734,92244.9765625,0.03612123802304268
12,12.0,0.21521516144275665,0.012105725705623627,0.0012894067913293839,102720.65625,0.03590831160545349
13,12.0,0.2144061177968979,0.011614895425736904,0.0012845596065744758,97558.140625,0.035840753465890884
14,12.0,0.2137237936258316,0.011698625050485134,0.0012804715661332011,93055.4765625,0.03578367829322815
15,24.0,0.2141515165567398,0.011804033070802689,0.0012867897748947144,92548.6953125,0.035871852189302444
16,24.0,0.21615459024906158,0.011507081799209118,0.0012988258386030793,86621.1875,0.03603922575712204
17,24.0,0.2144843190908432,0.01163825299590826,0.0012887894408777356,89479.5703125,0.03589971363544464
18,24.0,0.21757221221923828,0.011668222956359386,0.0013073439477011561,88969.421875,0.036157213151454926
19,24.0,0.21435409784317017,0.011689984239637852,0.0012880070134997368,85277.9765625,0.03588881343603134
