run,seq_len,rse,mae,mse,mape,rmse
0,15.0,0.030137237161397934,0.0652163103222847,0.012883739545941353,41708.76171875,0.11350656300783157
1,15.0,0.031025726348161697,0.0671185776591301,0.013263571076095104,61526.4375,0.11516758054494858
2,15.0,0.030898474156856537,0.06593208760023117,0.01320916973054409,46452.74609375,0.1149311512708664
3,15.0,0.03300561010837555,0.06836119294166565,0.014109975658357143,25177.708984375,0.11878541857004166
4,15.0,0.031195607036352158,0.0671294629573822,0.013336194679141045,42757.4765625,0.11548244208097458
5,30.0,0.02971254475414753,0.06598909944295883,0.01270259264856577,53128.40234375,0.1127057820558548
6,30.0,0.029079454019665718,0.06435257196426392,0.012431935407221317,54469.91015625,0.11149858683347702
7,30.0,0.030916355550289154,0.06652510911226273,0.013217240571975708,26011.97265625,0.1149662584066391
8,30.0,0.03172261267900467,0.06877732276916504,0.013561928644776344,54083.76171875,0.11645569652318954
9,30.0,0.030545542016625404,0.06616073846817017,0.01305871270596981,31017.353515625,0.11427472531795502
10,60.0,0.03033490851521492,0.06634475290775299,0.012968943454325199,53940.56640625,0.11388126760721207
11,60.0,0.030603986233472824,0.06586073338985443,0.013083981350064278,33340.23828125,0.11438523232936859
12,60.0,0.030611330643296242,0.06575003266334534,0.013087120838463306,25317.25,0.11439895629882812
13,60.0,0.030841516330838203,0.06707363575696945,0.013185531832277775,37035.75,0.11482827365398407
14,60.0,0.031087704002857208,0.06591436266899109,0.01329078245908022,15994.419921875,0.11528565734624863
