run,seq_len,rse,mae,mse,mape,rmse
0,15.0,0.03112730197608471,0.06684661656618118,0.013306993991136551,71750.6875,0.1153559461236
1,15.0,0.03034657984972,0.06592962145805359,0.012973234057426453,55075.38671875,0.11390010267496109
2,15.0,0.03020942211151123,0.0658317506313324,0.012914597988128662,57897.4296875,0.11364240944385529
3,15.0,0.03026771731674671,0.06612377613782883,0.012939519248902798,44637.7421875,0.11375200748443604
4,15.0,0.0304532740265131,0.06598716229200363,0.013018845580518246,49413.15234375,0.11410015821456909
5,30.0,0.029685363173484802,0.06551775336265564,0.012690971605479717,60034.37890625,0.11265420913696289
6,30.0,0.030171843245625496,0.06591907143592834,0.012898949906229973,61466.8515625,0.11357354372739792
7,30.0,0.029774073511362076,0.06493827700614929,0.012728896923363209,44056.84765625,0.11282241344451904
8,30.0,0.031014300882816315,0.06607392430305481,0.013259113766252995,43462.73046875,0.11514822393655777
9,30.0,0.029952766373753548,0.06538582593202591,0.012805291451513767,53869.8515625,0.11316046863794327
10,60.0,0.02962733991444111,0.06558474153280258,0.012666439637541771,58723.59375,0.11254528164863586
11,60.0,0.029635179787874222,0.06496067345142365,0.012669791467487812,54043.41796875,0.11256016790866852
12,60.0,0.029442748054862022,0.06378337740898132,0.012587522156536579,29400.701171875,0.11219412833452225
13,60.0,0.03008607029914856,0.06549669057130814,0.012862559407949448,46496.69921875,0.11341322213411331
14,60.0,0.029569141566753387,0.06462758034467697,0.012641559354960918,67129.234375,0.11243469268083572
