run,seq_len,rse,mae,mse,mape,rmse
0,3.0,0.16910304129123688,0.018832296133041382,0.006356625817716122,19175.42578125,0.07972844690084457
1,3.0,0.17596212029457092,0.018855903297662735,0.00661446014419198,17337.3359375,0.0813293308019638
2,3.0,0.1760832518339157,0.018946396186947823,0.0066190133802592754,21043.490234375,0.08135732263326645
3,3.0,0.1710105538368225,0.018857520073652267,0.006428329274058342,19232.97265625,0.08017686009407043
4,3.0,0.17137277126312256,0.018554553389549255,0.006441945675760508,20913.40234375,0.08026172965765
5,6.0,0.17460796236991882,0.018630126491189003,0.006564929150044918,13235.140625,0.08102425187826157
6,6.0,0.16705645620822906,0.018512587994337082,0.006281007081270218,17186.033203125,0.07925280183553696
7,6.0,0.1660100817680359,0.018476424738764763,0.006241664756089449,17836.181640625,0.07900420576334
8,6.0,0.16692087054252625,0.01842794008553028,0.006275909021496773,16393.861328125,0.07922063767910004
9,6.0,0.17327293753623962,0.01929006353020668,0.006514734588563442,22942.744140625,0.0807139053940773
10,12.0,0.1703244149684906,0.018432101234793663,0.006406866014003754,11227.951171875,0.08004289865493774
11,12.0,0.17130012810230255,0.018745919689536095,0.006443568039685488,19204.484375,0.08027184009552002
12,12.0,0.1705223172903061,0.01836707629263401,0.006414310075342655,12642.5283203125,0.08008939027786255
13,12.0,0.17021097242832184,0.018247125670313835,0.0064025986939668655,11574.7880859375,0.08001624047756195
14,12.0,0.1722736358642578,0.018754867836833,0.006480187177658081,16432.357421875,0.08049961179494858
15,24.0,0.1655282974243164,0.018341748043894768,0.006231942214071751,19620.05078125,0.07894264906644821
16,24.0,0.16729429364204407,0.018005119636654854,0.006298429798334837,11541.0419921875,0.0793626457452774
17,24.0,0.16735531389713287,0.018724527209997177,0.006300727371126413,24615.994140625,0.07937712222337723
18,24.0,0.1599147468805313,0.01783256232738495,0.006020599044859409,16234.1484375,0.07759252190589905
19,24.0,0.16600583493709564,0.01868758536875248,0.0062499213963747025,23194.83203125,0.07905644178390503
