run,seq_len,rse,mae,mse,mape,rmse
0,3.0,0.1498098522424698,0.0061503504402935505,0.000896151817869395,23272.900390625,0.029935795813798904
1,3.0,0.14961881935596466,0.005995278712362051,0.0008950090850703418,20528.810546875,0.029916701838374138
2,3.0,0.15022757649421692,0.006132599897682667,0.0008986506727524102,23447.123046875,0.029977502301335335
3,3.0,0.14963997900485992,0.00632981164380908,0.0008951356285251677,28492.96484375,0.029918817803263664
4,3.0,0.14906837046146393,0.006063417531549931,0.0008917163359001279,21522.068359375,0.02986161969602108
5,6.0,0.150970458984375,0.006115115713328123,0.0009035458788275719,22471.2578125,0.03005903959274292
6,6.0,0.15092894434928894,0.005963322706520557,0.0009032973903231323,18898.79296875,0.030054906383156776
7,6.0,0.14995746314525604,0.006009608972817659,0.0008974831434898078,20734.208984375,0.029958022758364677
8,6.0,0.1497967690229416,0.005940582137554884,0.0008965213783085346,19080.822265625,0.029941966757178307
9,6.0,0.15033817291259766,0.006007045973092318,0.0008997616823762655,20712.02734375,0.029996028169989586
10,12.0,0.15060129761695862,0.006081795319914818,0.0009022893500514328,21351.013671875,0.030038131400942802
11,12.0,0.15017743408679962,0.00599813973531127,0.0008997498662211001,20116.841796875,0.029995830729603767
12,12.0,0.1493474692106247,0.0059737879782915115,0.0008947773021645844,19301.615234375,0.029912827536463737
13,12.0,0.15002258121967316,0.00603697681799531,0.0008988221525214612,20992.458984375,0.029980363324284554
14,12.0,0.1490500569343567,0.0061165206134319305,0.0008929955074563622,22871.328125,0.02988303080201149
15,24.0,0.14608784019947052,0.006303675472736359,0.0008778100018389523,26947.216796875,0.029627857729792595
16,24.0,0.14628486335277557,0.005883085075765848,0.0008789938874542713,16698.47265625,0.0296478308737278
17,24.0,0.14629216492176056,0.0055409986525774,0.0008790376596152782,7112.24169921875,0.029648568481206894
18,24.0,0.14639990031719208,0.006129496730864048,0.0008796851034276187,21992.59765625,0.029659485444426537
19,24.0,0.14630796015262604,0.0059151253663003445,0.000879132654517889,18118.720703125,0.029650170356035233
