run,seq_len,rse,mae,mse,mape,rmse
0,15.0,0.04515352472662926,0.07667121291160583,0.015956955030560493,94.05882263183594,0.12632083892822266
1,15.0,0.04582015424966812,0.07760754972696304,0.016192536801099777,6660.2451171875,0.12724989652633667
2,15.0,0.04403289034962654,0.07630354166030884,0.015560929663479328,5549.24072265625,0.12474345415830612
3,15.0,0.046621173620224,0.07852862030267715,0.016475612297654152,101.35414123535156,0.12835736572742462
4,15.0,0.04577276110649109,0.07754816114902496,0.016175787895917892,427.1545104980469,0.12718407809734344
5,30.0,0.037933580577373505,0.07030070573091507,0.013406172394752502,13159.3291015625,0.11578502506017685
6,30.0,0.037530362606048584,0.06921453028917313,0.013263671658933163,254.47329711914062,0.1151680126786232
7,30.0,0.037179190665483475,0.06869949400424957,0.01313956268131733,5802.1552734375,0.11462793499231339
8,30.0,0.03822842612862587,0.06995302438735962,0.01351037435233593,2154.66015625,0.11623413860797882
9,30.0,0.037348851561546326,0.06874643266201019,0.013199522159993649,2316.78125,0.11488917469978333
10,60.0,0.02370830625295639,0.05426018312573433,0.00837921816855669,37.472171783447266,0.09153807163238525
11,60.0,0.02253706380724907,0.05285760387778282,0.007965266704559326,1258.27685546875,0.08924834430217743
12,60.0,0.02255142480134964,0.05297993868589401,0.00797034241259098,749.8610229492188,0.08927677571773529
13,60.0,0.021941430866718292,0.05223238840699196,0.00775475287809968,2565.171142578125,0.08806107193231583
14,60.0,0.022198926657438278,0.05262654274702072,0.007845758460462093,170.78131103515625,0.0885762870311737
