run,seq_len,rse,mae,mse,mape,rmse
0,3.0,0.27175673842430115,0.013048804365098476,0.001625629374757409,104733.0703125,0.04031909257173538
1,3.0,0.26609987020492554,0.013001077808439732,0.0015917903510853648,106850.390625,0.03989724814891815
2,3.0,0.2666916847229004,0.012953449971973896,0.001595330541022122,111540.5234375,0.039941590279340744
3,3.0,0.2690505087375641,0.012956198304891586,0.0016094408929347992,109064.765625,0.040117837488651276
4,3.0,0.27101075649261475,0.01302475668489933,0.0016211670590564609,105297.6796875,0.040263719856739044
5,6.0,0.268351286649704,0.013265064917504787,0.0016060604248195887,111467.9453125,0.04007568210363388
6,6.0,0.27313533425331116,0.013410046696662903,0.0016346926568076015,120933.234375,0.04043133184313774
7,6.0,0.27042603492736816,0.01317817997187376,0.0016184777487069368,100654.4609375,0.04023030772805214
8,6.0,0.26427164673805237,0.012994734570384026,0.0015816442901268601,105682.9609375,0.039769891649484634
9,6.0,0.2726490795612335,0.01289368886500597,0.0016317825065925717,95663.2734375,0.04039532691240311
10,12.0,0.26976215839385986,0.013136339373886585,0.0016162112588062882,109155.7421875,0.04020212963223457
11,12.0,0.2702462375164032,0.012876922264695168,0.0016191113973036408,113810.5234375,0.04023818299174309
12,12.0,0.27434736490249634,0.013297134079039097,0.0016436823643743992,116007.9609375,0.0405423529446125
13,12.0,0.2703765034675598,0.01292295940220356,0.0016198919620364904,104844.6015625,0.040247879922389984
14,12.0,0.2732221782207489,0.013373968191444874,0.0016369411023333669,118413.2421875,0.040459129959344864
15,24.0,0.27143481373786926,0.013009564019739628,0.001630992628633976,101428.375,0.040385548025369644
16,24.0,0.2714075446128845,0.013380738906562328,0.0016308287158608437,110501.7265625,0.04038352146744728
17,24.0,0.27738144993782043,0.013222044333815575,0.0016667245654389262,121061.5078125,0.04082553833723068
18,24.0,0.2725357115268707,0.012992464937269688,0.001637607696466148,100334.96875,0.04046736657619476
19,24.0,0.2752198278903961,0.013190158642828465,0.0016537358751520514,105346.4609375,0.04066615179181099
