run,seq_len,rse,mae,mse,mape,rmse
0,15.0,0.031783051788806915,0.06787163019180298,0.013587327674031258,53779.1328125,0.11656469106674194
1,15.0,0.03247873857617378,0.06994800269603729,0.013884736225008965,58463.75390625,0.11783351004123688
2,15.0,0.03259478136897087,0.06949379295110703,0.013934345915913582,65330.43359375,0.11804383248090744
3,15.0,0.03232855349779129,0.06757374852895737,0.013820531778037548,36100.90234375,0.11756075918674469
4,15.0,0.032106053084135056,0.06821794807910919,0.01372541207820177,68737.578125,0.11715550720691681
5,30.0,0.030795786529779434,0.06643663346767426,0.01316569559276104,46284.24609375,0.11474186182022095
6,30.0,0.030669158324599266,0.06657319515943527,0.013111559674143791,39530.3359375,0.11450571566820145
7,30.0,0.03099677339196205,0.06628170609474182,0.013251621276140213,29336.7734375,0.115115687251091
8,30.0,0.03143295273184776,0.06781631708145142,0.013438094407320023,47221.8359375,0.11592279374599457
9,30.0,0.030242985114455223,0.06669061630964279,0.01292936410754919,28530.3828125,0.11370736360549927
10,60.0,0.03150200471282005,0.06783097982406616,0.013467906974256039,47161.59375,0.11605130881071091
11,60.0,0.03159072995185852,0.06719265133142471,0.013505839742720127,37602.875,0.11621462553739548
12,60.0,0.030444668605923653,0.06615756452083588,0.013015869073569775,32582.380859375,0.11408711224794388
13,60.0,0.031443774700164795,0.0674114003777504,0.013443012721836567,52875.03515625,0.11594400554895401
14,60.0,0.031138887628912926,0.0667615458369255,0.013312664814293385,38954.15625,0.11538051813840866
