,count,mean,std,min,25%,50%,75%,max
Unnamed: 1,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 2,6257.0,3251.452613073358,185.52203605808077,1613.0,3144.0,3186.0,3379.0,5043.0
Unnamed: 3,6257.0,23942.660700015982,10586.599052414806,1927.0,13291.0,27959.0,33720.0,38044.0
Unnamed: 4,6257.0,3363.5564967236696,883.4554291242437,940.0,2789.0,3018.0,3701.0,9511.0
Unnamed: 5,6257.0,36578.95301262586,1373.6562090946106,5013.0,36208.0,36708.0,37195.0,40858.0
Unnamed: 6,6257.0,19653.30701614192,13747.42670767864,1506.0,6833.0,13790.0,36078.0,40670.0
Unnamed: 7,6257.0,2273.156944222471,279.02745669950735,768.0,2136.0,2183.0,2309.0,3675.0
Unnamed: 8,6257.0,2922.0337222311014,146.7232396753802,1283.0,2821.0,2909.0,3029.0,3609.0
Unnamed: 9,6257.0,6484.081668531245,2277.7841844923055,1602.0,3752.0,7478.0,8131.0,11855.0
Unnamed: 10,6257.0,32232.51334505354,7088.648562342411,1723.0,32753.0,35114.0,36118.0,40204.0
Unnamed: 11,6257.0,34682.54514943263,1116.287533450146,8303.0,34358.0,34836.0,35314.0,38713.0
Unnamed: 12,6257.0,34656.01965798306,1303.5250681724144,6270.0,34358.0,34836.0,35314.0,38393.0
Unnamed: 13,6257.0,33464.47275051942,6271.798168079566,5921.0,35162.0,36130.0,36592.0,39766.0
Unnamed: 14,6257.0,17604.04666773214,4654.266412097435,4232.0,12781.0,18156.0,21433.0,27796.0
Unnamed: 15,6257.0,26240.86031644558,624.5828131831147,7224.0,25924.0,26232.0,26688.0,29490.0
Unnamed: 16,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 17,6257.0,27690.41361674924,4764.832765734405,1212.0,28386.0,28891.0,29187.0,59503.0
Unnamed: 18,6257.0,26173.032124021098,698.0369499723481,8051.0,25774.0,26228.0,26688.0,29047.0
Unnamed: 19,6257.0,23178.443663097332,6511.022260494944,2166.0,24738.0,25854.0,26315.0,29388.0
Unnamed: 20,6257.0,2744.5098289915295,1965.499553748976,869.0,1026.0,2431.0,3920.0,13815.0
Unnamed: 21,6257.0,1972.778008630334,247.98966346680473,782.0,1860.0,1901.0,2000.0,3363.0
Unnamed: 22,6257.0,27025.728144478184,977.0852549088304,6457.0,26513.0,27087.0,27632.0,30942.0
Unnamed: 23,6257.0,4135.175962921528,1879.8940566438207,1142.0,2020.0,4931.0,5448.0,9021.0
Unnamed: 24,6257.0,4061.4534121783604,3206.0700212137426,1521.0,2074.0,2616.0,4658.0,14381.0
Unnamed: 25,6257.0,26916.424964040274,1219.0661941473943,259.0,26548.0,27013.0,27486.0,86763.0
Unnamed: 26,6257.0,26828.42959884929,1199.5660446721674,4263.0,26553.0,27008.0,27426.0,30329.0
Unnamed: 27,6257.0,25568.82355761547,1233.3442065290246,6778.0,24969.0,25258.0,25867.0,30801.0
Unnamed: 28,6257.0,26954.56033242768,936.4285486390764,7755.0,26587.0,27018.0,27486.0,30388.0
Unnamed: 29,6257.0,3206.6044430238135,1059.2802113585954,1026.0,2074.0,3331.0,4012.0,7525.0
Unnamed: 30,6257.0,1672.7137605881412,166.43269452574347,982.0,1638.0,1652.0,1656.0,3702.0
Unnamed: 31,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 32,6257.0,2166.4737094454213,722.9139605081008,670.0,1696.0,2178.0,2522.0,7507.0
Unnamed: 33,6257.0,2055.677321400032,103.3796339089382,783.0,2016.0,2030.0,2048.0,2613.0
Unnamed: 34,6257.0,3289.9534920888605,837.846961899538,1094.0,2720.0,2912.0,3547.0,6981.0
Unnamed: 35,6257.0,1517.26993766981,180.32597608968453,604.0,1445.0,1475.0,1528.0,2865.0
Unnamed: 36,6257.0,2966.5146236215437,1046.1009022327478,813.0,2227.0,2754.0,3435.0,6377.0
Unnamed: 37,6257.0,3102.5224548505676,2015.4940687007452,1024.0,1817.0,2587.0,3690.0,16604.0
Unnamed: 38,6257.0,322.8988333066965,929.1099556114158,0.0,0.0,0.0,0.0,7040.0
Unnamed: 39,6257.0,15864.714080230142,3028.300844644214,2740.0,14386.0,17000.0,18055.0,20486.0
Unnamed: 40,6257.0,4671.845772734538,3565.043842301765,2590.0,3066.0,3182.0,3700.0,19810.0
Unnamed: 41,6257.0,15518.620105481861,1957.7789872654364,0.0,14466.0,15625.0,16932.0,50815.0
Unnamed: 42,6257.0,9569.828991529486,5247.190505644805,950.0,3326.0,12260.0,13576.0,18090.0
Unnamed: 43,6257.0,3694.421288157264,1406.7614173482216,1764.0,2772.0,2822.0,4843.0,7410.0
Unnamed: 44,6257.0,3942.7947898353846,487.8520055974307,2761.0,3722.0,3772.0,4001.0,6494.0
Unnamed: 45,6257.0,5503.8670289276015,3657.195330047886,2052.0,3067.0,4418.0,6377.0,23210.0
Unnamed: 46,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 47,6257.0,24891.114112194344,3749.6870623161612,2962.0,23360.0,25882.0,27419.0,32990.0
Unnamed: 48,6257.0,7140.8758190826275,528.084046636451,3256.0,6802.0,7097.0,7489.0,9415.0
Unnamed: 49,6257.0,3182.94997602685,1927.9280116367215,1584.0,2282.0,2331.0,2792.0,12610.0
Unnamed: 50,6257.0,23779.951734057857,6517.977227019229,2210.0,19308.0,23543.0,28406.0,39465.0
Unnamed: 51,6257.0,7469.35656065207,2692.543649108008,2678.0,4683.0,8714.0,9393.0,12794.0
Unnamed: 52,6257.0,39998.745884609234,4736.517462000106,8511.0,39653.0,41763.0,42535.0,46988.0
Unnamed: 53,6257.0,42242.531884289594,3368.6285131733816,11168.0,41574.0,43430.0,43968.0,49128.0
Unnamed: 54,6257.0,42902.908422566725,3307.3040519667557,7461.0,42923.0,43628.0,44184.0,52750.0
Unnamed: 55,6257.0,2925.2171967396516,135.3914991018013,854.0,2832.0,2885.0,3009.0,3466.0
Unnamed: 56,6257.0,12438.24692344574,4299.2278389392095,3965.0,6847.0,14078.0,15660.0,27213.0
Unnamed: 57,6257.0,2717.2141601406424,211.61451323088338,1546.0,2646.0,2664.0,2699.0,5212.0
Unnamed: 58,6257.0,3613.798945181397,526.9376111225218,1888.0,3344.0,3569.0,3757.0,5820.0
Unnamed: 59,6257.0,37685.33834105801,2195.426124633475,9659.0,36759.0,38302.0,39254.0,42874.0
Unnamed: 60,6257.0,13075.858238772575,5009.0864329520355,3160.0,9862.0,11540.0,14089.0,40264.0
Unnamed: 61,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 62,6257.0,5080.924724308774,244.71600911895695,1610.0,4911.0,5074.0,5253.0,5956.0
Unnamed: 63,6257.0,2789.2724948058176,179.4876590644907,1358.0,2664.0,2789.0,2905.0,3392.0
Unnamed: 64,6257.0,9259.695061531085,1123.9610943393277,1795.0,8497.0,9202.0,10212.0,12193.0
Unnamed: 65,6257.0,22030.39060252517,1459.434435232658,6449.0,22049.0,22485.0,22800.0,26010.0
Unnamed: 66,6257.0,1961.2809653188428,1039.5180316769163,1314.0,1760.0,1764.0,1782.0,10761.0
Unnamed: 67,6257.0,6090.280485855841,2738.2371154520456,1440.0,4679.0,5174.0,6705.0,24081.0
Unnamed: 68,6257.0,35733.52341377657,3519.3614125362574,7065.0,33855.0,36064.0,38241.0,44848.0
Unnamed: 69,6257.0,35787.494006712484,1612.313964963179,6265.0,34978.0,35378.0,36084.0,43490.0
Unnamed: 70,6257.0,28567.258910020777,5121.364418286002,7715.0,24829.0,29148.0,32887.0,39877.0
Unnamed: 71,6257.0,6472.95988492888,2394.416354199665,1100.0,4957.0,6063.0,7377.0,19661.0
Unnamed: 72,6257.0,1142.1022854403068,1013.1777749883565,256.0,747.0,1008.0,1035.0,10045.0
Unnamed: 73,6257.0,2521.1385648074156,105.5847398372281,942.0,2502.0,2534.0,2565.0,2987.0
Unnamed: 74,6257.0,49040.05865430718,1068.7659376082372,12452.0,48558.0,49107.0,49584.0,54767.0
Unnamed: 75,6257.0,30899.455170209367,4688.010947935796,13129.0,26905.0,29916.0,35232.0,42436.0
Unnamed: 76,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 77,6257.0,3054.9325555377977,367.5612953950843,1303.0,2834.0,2906.0,3161.0,4695.0
Unnamed: 78,6257.0,12215.01646156305,1254.0749210065214,2441.0,11406.0,12079.0,12988.0,15916.0
Unnamed: 79,6257.0,8901.847530765543,3282.868127614862,3258.0,5165.0,10495.0,11277.0,14418.0
Unnamed: 80,6257.0,1480.43998721432,1500.7501714144473,355.0,615.0,1437.0,1802.0,13667.0
Unnamed: 81,6257.0,51184.57599488573,1649.406349364884,15549.0,50430.0,51282.0,52018.0,59028.0
Unnamed: 82,6257.0,47989.65366789196,4880.028820190024,0.0,45584.0,48496.0,51099.0,174763.0
Unnamed: 83,6257.0,40665.87597890363,5791.339428705437,8102.0,36071.0,37612.0,46107.0,56927.0
Unnamed: 84,6257.0,3333.808374620425,421.11582520949656,1814.0,3019.0,3248.0,3640.0,4507.0
Unnamed: 85,6257.0,21484.459805018378,1365.5383375904048,5188.0,21173.0,21862.0,22344.0,24474.0
Unnamed: 86,6257.0,21029.100847051304,733.0112628108305,4836.0,21066.0,21084.0,21120.0,23104.0
